id,age,gender,sign_up_method,payment_method,no_of_devices
1,62,F,Facebook,PayPal,2
2,31,M,Google,Credit card,3
3,21,M,Google,PayPal,4
4,37,M,Facebook,Debit card,4
5,47,F,Facebook,PayPal,3
6,46,F,Facebook,Debit card,4
7,42,F,Email,Debit card,4
8,72,M,Email,PayPal,4
9,40,M,Email,Credit card,4
10,28,F,Facebook,PayPal,1
11,30,F,Email,PayPal,3
12,57,M,Google,PayPal,2
13,58,F,Facebook,Debit card,2
14,81,M,Facebook,PayPal,4
15,78,F,Google,Debit card,1
16,71,F,Facebook,PayPal,4
17,32,F,Email,PayPal,4
18,68,M,Google,Credit card,3
19,51,F,Email,PayPal,4
20,78,F,Google,Debit card,4
21,69,F,Email,Debit card,4
22,81,M,Facebook,PayPal,2
23,43,M,Email,Debit card,2
24,23,F,Email,PayPal,1
25,65,M,Email,Credit card,1
26,26,M,Google,Credit card,1
27,46,F,Facebook,PayPal,2
28,34,M,Facebook,PayPal,4
29,20,F,Google,PayPal,1
30,22,M,Google,PayPal,4
31,28,F,Google,Debit card,2
32,25,M,Facebook,Credit card,2
33,43,F,Google,Credit card,2
34,81,F,Email,Credit card,2
35,44,M,Email,PayPal,1
36,31,M,Google,Credit card,1
37,61,M,Facebook,PayPal,2
38,63,F,Facebook,Credit card,1
39,28,F,Google,PayPal,1
40,51,M,Google,Credit card,2
41,80,M,Google,Credit card,3
42,48,M,Google,Credit card,2
43,58,M,Email,PayPal,3
44,35,F,Facebook,Credit card,1
45,18,M,Facebook,PayPal,2
46,79,F,Facebook,PayPal,3
47,75,M,Google,Credit card,1
48,41,F,Google,Credit card,1
49,71,M,Email,Credit card,2
50,39,M,Google,Debit card,1
51,40,M,Facebook,Debit card,2
52,62,M,Email,Credit card,2
53,65,M,Facebook,PayPal,2
54,18,F,Facebook,Debit card,3
55,34,F,Facebook,PayPal,1
56,43,F,Email,PayPal,2
57,27,M,Google,Debit card,4
58,60,M,Google,Debit card,1
59,60,F,Email,Debit card,4
60,68,F,Facebook,Debit card,1
61,23,M,Facebook,Debit card,3
62,37,F,Facebook,Credit card,1
63,28,F,Facebook,PayPal,1
64,37,F,Email,Debit card,3
65,64,M,Google,Debit card,1
66,55,M,Email,Credit card,2
67,18,M,Facebook,PayPal,2
68,49,F,Email,Credit card,1
69,69,M,Google,Debit card,3
70,58,M,Google,PayPal,1
71,47,F,Google,Credit card,1
72,20,M,Email,Credit card,3
73,73,M,Facebook,Credit card,4
74,53,M,Email,Credit card,1
75,70,F,Facebook,Debit card,2
76,54,M,Google,PayPal,1
77,73,F,Facebook,Debit card,3
78,42,F,Email,Credit card,1
79,81,F,Email,Debit card,4
80,38,M,Email,Credit card,3
81,30,M,Facebook,Debit card,2
82,67,F,Google,Credit card,3
83,49,F,Google,Debit card,1
84,54,M,Email,PayPal,2
85,22,M,Email,Debit card,3
